Date,Open,High,Low,Close,Adj Close,Volume
1998-04-15,111.968750,112.125000,111.156250,112.125000,71.181389,3867200
1998-04-16,111.312500,111.500000,110.500000,110.812500,70.348175,7177900
1998-04-17,110.718750,112.437500,110.437500,112.281250,71.280571,5688800
1998-04-20,112.000000,112.562500,111.875000,112.250000,71.260788,3688300
1998-04-21,112.437500,113.156250,111.906250,112.781250,71.598015,4573200
1998-04-22,112.875000,113.437500,112.812500,113.093750,71.796379,2386100
1998-04-23,112.625000,113.000000,111.750000,112.000000,71.102043,5062000
1998-04-24,111.750000,112.468750,110.343750,110.812500,70.348175,11039700
1998-04-27,109.375000,109.687500,107.625000,108.718750,69.018982,14510200
1998-04-28,109.781250,109.812500,108.125000,108.562500,68.919800,6511400
1998-04-29,109.031250,109.968750,108.437500,109.312500,69.395950,7703100
1998-04-30,110.562500,111.921875,110.406250,111.343750,70.685440,8684500
1998-05-01,111.750000,112.593750,111.312500,112.593750,71.478996,4008800
1998-05-04,112.718750,113.312500,112.156250,112.312500,71.300438,4537200
1998-05-05,112.000000,112.156250,111.125000,111.531250,70.804466,5146400
1998-05-06,112.125000,112.125000,110.187500,110.218750,69.971237,5526100
1998-05-07,110.500000,110.562500,109.343750,109.343750,69.415787,6940400
1998-05-08,110.000000,111.375000,110.000000,111.125000,70.546585,7951000
1998-05-11,111.562500,112.218750,110.375000,110.750000,70.308525,6336300
1998-05-12,110.812500,111.968750,110.343750,111.937500,71.062363,6045200
1998-05-13,112.062500,112.562500,111.593750,112.218750,71.240929,4441500
1998-05-14,111.531250,112.687500,111.343750,111.656250,70.883820,4187500
1998-05-15,112.000000,112.218750,110.812500,111.031250,70.487053,6716100
1998-05-18,110.718750,111.593750,109.828125,110.593750,70.209305,4847200
1998-05-19,111.000000,111.687500,110.781250,111.343750,70.685440,5918700
1998-05-20,112.093750,112.500000,110.875000,112.406250,71.359985,5716600
1998-05-21,112.375000,112.781250,111.312500,111.687500,70.903656,6301500
1998-05-22,111.750000,112.062500,110.937500,111.250000,70.625908,4862200
1998-05-26,112.093750,112.093750,109.187500,109.468750,69.495094,6899300
1998-05-27,108.531250,109.906250,107.578125,109.625000,69.594330,10202600
1998-05-28,109.875000,110.375000,109.062500,110.125000,69.911697,4907600
1998-05-29,110.625000,110.812500,109.031250,109.031250,69.217354,4772600
1998-06-01,108.968750,110.218750,108.562500,109.531250,69.534813,6092200
1998-06-02,110.000000,110.343750,109.156250,109.625000,69.594330,6701100
1998-06-03,109.875000,110.187500,107.875000,107.875000,68.483330,6445100
1998-06-04,108.250000,110.062500,108.062500,109.875000,69.753029,6566300
1998-06-05,110.375000,112.000000,109.875000,112.000000,71.102043,8463200
1998-06-08,111.937500,112.468750,111.656250,111.875000,71.022713,4159900
1998-06-09,111.718750,112.421875,111.406250,112.218750,71.240929,2725300
1998-06-10,111.625000,113.062500,111.250000,111.500000,70.784637,6186900
1998-06-11,111.437500,111.875000,109.375000,109.406250,69.455421,8056600
1998-06-12,109.875000,110.437500,108.250000,110.437500,70.110123,9779000
1998-06-15,108.812500,109.906250,107.500000,107.531250,68.265144,10234200
1998-06-16,108.406250,109.218750,107.750000,109.187500,69.316544,7471500
1998-06-17,110.156250,111.781250,109.937500,111.468750,70.764809,12057700
1998-06-18,111.187500,111.437500,110.750000,110.968750,70.447395,3844600
1998-06-19,111.062500,111.234375,109.625000,110.062500,70.094406,3549100
1998-06-22,110.250000,111.062500,110.062500,110.593750,70.432716,5438300
1998-06-23,111.093750,112.062500,111.000000,111.906250,71.268608,5004600
1998-06-24,112.156250,113.687500,111.609375,113.406250,72.223900,8291900
1998-06-25,113.906250,114.437500,112.812500,113.218750,72.104477,5854800
1998-06-26,113.312500,113.843750,113.125000,113.687500,72.403023,4833100
1998-06-29,114.250000,114.687500,113.796875,114.093750,72.661728,5953400
1998-06-30,113.906250,114.187500,113.062500,113.312500,72.164154,4284800
1998-07-01,114.062500,114.937500,113.625000,114.625000,73.000061,3489500
1998-07-02,114.718750,114.875000,114.250000,114.843750,73.139359,3503900
1998-07-06,114.781250,116.000000,114.562500,116.000000,73.875755,3144400
1998-07-07,115.984375,116.125000,115.281250,115.781250,73.736427,4920700
1998-07-08,115.875000,116.937500,115.750000,116.625000,74.273750,6875000
1998-07-09,116.281250,116.718750,115.625000,115.843750,73.776245,6942500
1998-07-10,116.031250,116.937500,115.062500,116.468750,74.174248,7849700
1998-07-13,116.562500,116.843750,116.062500,116.500000,74.194168,6555100
1998-07-14,116.937500,118.156250,116.937500,117.812500,75.030052,6983600
1998-07-15,118.062500,118.281250,117.531250,117.593750,74.890732,4977500
1998-07-16,117.687500,118.593750,117.062500,118.406250,75.408142,6315600
1998-07-17,118.625000,119.000000,118.312500,118.562500,75.507698,3539500
1998-07-20,118.750000,119.234375,117.937500,118.562500,75.507698,2338400
1998-07-21,119.000000,119.000000,116.281250,116.500000,74.194168,5518600
1998-07-22,116.343750,116.984375,115.531250,116.500000,74.194168,10417300
1998-07-23,116.312500,116.593750,113.906250,114.187500,72.721458,15110900
1998-07-24,114.968750,115.093750,112.875000,114.093750,72.661728,11540500
1998-07-27,113.625000,115.000000,112.843750,114.906250,73.179161,9600000
1998-07-28,114.437500,114.656250,111.875000,112.968750,71.945282,13693000
1998-07-29,113.718750,114.125000,112.250000,112.531250,71.666664,7462400
1998-07-30,113.625000,114.593750,113.406250,114.218750,72.741318,6821600
1998-07-31,114.343750,114.500000,111.312500,111.781250,71.188980,7680500
1998-08-03,111.781250,112.421875,111.031250,111.312500,70.890472,10486500
1998-08-04,112.218750,112.218750,107.000000,107.000000,68.144020,15091600
1998-08-05,107.937500,108.875000,105.593750,108.468750,69.079399,21718400
1998-08-06,108.125000,109.500000,107.562500,108.937500,69.377930,13084400
1998-08-07,109.687500,110.593750,108.468750,109.125000,69.497368,12083800
1998-08-10,108.750000,109.656250,108.187500,108.500000,69.099258,6273000
1998-08-11,106.781250,107.437500,105.500000,106.875000,68.064415,14287100
1998-08-12,107.750000,108.875000,107.500000,108.687500,69.218712,11158400
1998-08-13,108.812500,109.656250,107.375000,107.375000,68.382828,9073900
1998-08-14,108.343750,108.718750,105.781250,106.125000,67.586754,8628500
1998-08-17,106.000000,108.937500,105.500000,108.375000,69.019653,11290000
1998-08-18,109.000000,110.593750,108.781250,110.375000,70.293434,7603900
1998-08-19,111.093750,111.093750,109.625000,110.093750,70.114281,6258600
1998-08-20,109.687500,110.406250,109.156250,109.437500,69.696350,7402800
1998-08-21,108.187500,108.718750,105.500000,108.562500,69.139153,16685400
1998-08-24,109.250000,109.937500,108.312500,109.250000,69.576927,7201700
1998-08-25,110.375000,111.250000,108.640625,109.500000,69.736153,9688300
