Date,Open,High,Low,Close,Volume
04/08/2020,"0.81","0.92","0.80","0.85","11,538,112"
04/07/2020,"0.85","0.86","0.78","0.82","11,347,436"
04/06/2020,"0.72","0.80","0.71","0.77","13,324,280"
04/03/2020,"0.71","0.74","0.64","0.70","15,323,044"
04/02/2020,"0.82","0.84","0.71","0.71","16,257,356"
04/01/2020,"0.86","0.87","0.78","0.81","18,274,780"
03/31/2020,"0.91","0.95","0.88","0.88","9,216,528"
03/30/2020,"1.06","1.07","0.91","0.91","13,402,284"
03/27/2020,"1.24","1.27","1.04","1.06","28,099,052"
03/26/2020,"1.06","1.18","1.06","1.10","24,843,916"
03/25/2020,"1.04","1.12","1.01","1.04","14,368,236"
03/24/2020,"0.99","1.05","0.97","1.04","27,222,636"
03/23/2020,"0.90","0.97","0.88","0.95","24,039,136"
03/20/2020,"1.02","1.02","0.91","0.94","30,888,776"
03/19/2020,"0.93","1.05","0.89","1.05","20,158,156"
03/18/2020,"1.03","1.06","0.88","0.94","14,606,836"
03/17/2020,"1.10","1.16","1.03","1.06","14,248,840"
03/16/2020,"0.98","1.14","0.98","1.09","19,466,784"
